3 100000
0 0.001 1 0.001 0 0
0 44.401 -0.77598 44.401 -nan -nan
0 44.501 -0.77998 44.501 -nan -nan
0 44.601 -0.78398 44.601 -nan -nan
0 44.701 -0.78798 44.701 -nan -nan
0 44.801 -0.79198 44.801 -nan -nan
0 44.901 -0.79598 44.901 -nan -nan
0 45.001 -0.79998 45.001 -nan -nan
0 45.101 -0.80398 45.101 -nan -nan
0 45.201 -0.80798 45.201 -nan -nan
0 45.301 -0.81198 45.301 -nan -nan
0 45.401 -0.81598 45.401 -nan -nan
0 45.501 -0.81998 45.501 -nan -nan
0 45.601 -0.82398 45.601 -nan -nan
0 45.701 -0.82798 45.701 -nan -nan
0 45.801 -0.83198 45.801 -nan -nan
0 45.901 -0.83598 45.901 -nan -nan
0 46.001 -0.83998 46.001 -nan -nan
0 46.101 -0.84398 46.101 -nan -nan
0 46.201 -0.84798 46.201 -nan -nan
0 46.301 -0.85198 46.301 -nan -nan
0 46.401 -0.85598 46.401 -nan -nan
0 46.501 -0.85998 46.501 -nan -nan
0 46.601 -0.86398 46.601 -nan -nan
0 46.701 -0.86798 46.701 -nan -nan
0 46.801 -0.87198 46.801 -nan -nan
0 46.901 -0.87598 46.901 -nan -nan
0 47.001 -0.87998 47.001 -nan -nan
0 47.101 -0.88398 47.101 -nan -nan
0 47.201 -0.88798 47.201 -nan -nan
0 47.301 -0.89198 47.301 -nan -nan
0 47.401 -0.89598 47.401 -nan -nan
0 47.501 -0.89998 47.501 -nan -nan
0 47.601 -0.90398 47.601 -nan -nan
0 47.701 -0.90798 47.701 -nan -nan
0 47.801 -0.91198 47.801 -nan -nan
0 47.901 -0.91598 47.901 -nan -nan
0 48.001 -0.91998 48.001 -nan -nan
0 48.101 -0.92398 48.101 -nan -nan
0 48.201 -0.92798 48.201 -nan -nan
0 48.301 -0.93198 48.301 -nan -nan
0 48.401 -0.93598 48.401 -nan -nan
0 48.501 -0.93998 48.501 -nan -nan
0 48.601 -0.94398 48.601 -nan -nan
0 48.701 -0.94798 48.701 -nan -nan
0 48.801 -0.95198 48.801 -nan -nan
0 48.901 -0.95598 48.901 -nan -nan
0 49.001 -0.95998 49.001 -nan -nan
0 49.101 -0.96398 49.101 -nan -nan
0 49.201 -0.96798 49.201 -nan -nan
0 49.301 -0.97198 49.301 -nan -nan
0 49.401 -0.97598 49.401 -nan -nan
0 49.501 -0.97998 49.501 -nan -nan
0 49.601 -0.98398 49.601 -nan -nan
0 49.701 -0.98798 49.701 -nan -nan
0 49.801 -0.99198 49.801 -nan -nan
0 49.901 -0.99598 49.901 -nan -nan
0 50.001 -0.99998 50.001 -nan -nan
0 50.101 -1.00398 50.101 -nan -nan
0 50.201 -1.00798 50.201 -nan -nan
0 50.301 -1.01198 50.301 -nan -nan
0 50.401 -1.01598 50.401 -nan -nan
0 50.501 -1.01998 50.501 -nan -nan
0 50.601 -1.02398 50.601 -nan -nan
0 50.701 -1.02798 50.701 -nan -nan
0 50.801 -1.03198 50.801 -nan -nan
0 50.901 -1.03598 50.901 -nan -nan
0 51.001 -1.03998 51.001 -nan -nan
0 51.101 -1.04398 51.101 -nan -nan
0 51.201 -1.04798 51.201 -nan -nan
0 51.301 -1.05198 51.301 -nan -nan
0 51.401 -1.05598 51.401 -nan -nan
0 51.501 -1.05998 51.501 -nan -nan
0 51.601 -1.06398 51.601 -nan -nan
0 51.701 -1.06798 51.701 -nan -nan
0 51.801 -1.07198 51.801 -nan -nan
0 51.901 -1.07598 51.901 -nan -nan
0 52.001 -1.07998 52.001 -nan -nan
0 52.101 -1.08398 52.101 -nan -nan
0 52.201 -1.08798 52.201 -nan -nan
0 52.301 -1.09198 52.301 -nan -nan
0 52.401 -1.09598 52.401 -nan -nan
0 52.501 -1.09998 52.501 -nan -nan
0 52.601 -1.10398 52.601 -nan -nan
0 52.701 -1.10798 52.701 -nan -nan
0 52.801 -1.11198 52.801 -nan -nan
0 52.901 -1.11598 52.901 -nan -nan
0 53.001 -1.11998 53.001 -nan -nan
0 53.101 -1.12398 53.101 -nan -nan
0 53.201 -1.12798 53.201 -nan -nan
0 53.301 -1.13198 53.301 -nan -nan
0 53.401 -1.13598 53.401 -nan -nan
